386			
name	mod1code	mod1min	mod1max
of_Sorcery	Energy	11	15
of_Knowledge	Energy	1	5
of_Knowledge	Energy	4	6
of_Knowledge	Energy	7	9
of_Flame	Minimum_fire_damage	1	1
of_Fire	Minimum_fire_damage	2	2
of_Burning	Minimum_fire_damage	10	10
of_Flame	Minimum_fire_damage	1	1
of_Flame	Minimum_fire_damage	1	1
of_Fire	Minimum_fire_damage	1	4
of_Burning	Minimum_fire_damage	5	9
of_Incineration	Minimum_fire_damage	10	15
of_Flame	Minimum_fire_damage	1	1
of_Passion	Minimum_fire_damage	1	3
of_Fire	Minimum_fire_damage	4	7
of_Burning	Minimum_fire_damage	8	10
of_Greed	Gold_%	40	60
of_Wealth	Gold_%	80	120
of_Greed	Gold_%	25	40
of_Wealth	Gold_%	41	80
of_Greed	Gold_%	5	10
of_Greed	Gold_%	11	21
of_Greed	Gold_%	22	33
of_Greed	Gold_%	5	10
of_Greed	Gold_%	11	22
of_Greed	Gold_%	5	10
of_Avarice	Gold_%	5	20
of_Warmth	Half-freeze	1	1
of_Warmth	Half-freeze	1	1
of_Life	Health	5	5
of_the_Jackal	Health	1	5
of_the_Fox	Health	5	10
of_the_Wolf	Health	11	20
of_the_Wolf	Health	11	20
of_the_Tiger	Health	21	30
of_the_Mammoth	Health	31	40
of_the_Mammoth	Health	31	40
of_the_Colosuss	Health	41	60
of_the_Jackal	Health	1	5
of_the_Fox	Health	6	10
of_the_Wolf	Health	11	20
of_the_Tiger	Health	21	30
of_the_Mammoth	Health	31	40
of_the_Colossus	Health	41	60
of_the_Squid	Health	61	80
of_the_Whale	Health	81	100
of_the_Jackal	Health	1	5
of_the_Fox	Health	6	10
of_the_Wolf	Health	11	20
of_the_Tiger	Health	21	30
of_the_Mammoth	Health	31	40
of_the_Colossus	Health	41	60
of_the_Jackal	Health	1	5
of_the_Fox	Health	6	10
of_the_Wolf	Health	11	20
of_the_Tiger	Health	21	30
of_the_Mammoth	Health	31	40
of_Life	Health	5	10
of_Life	Health	11	15
of_Life	Health	16	20
of_Substinence	Health	21	25
of_Substinence	Health	26	30
of_Substinence	Health	31	35
of_Vita	Health	36	40
of_Vita	Health	41	45
of_Vita	Health	46	50
of_Life	Health	6	10
of_Life	Health	11	15
of_Substinence	Health	16	20
of_Substinence	Health	21	25
of_Vita	Health	26	30
of_Vita	Health	31	35
of_Life	Health	5	10
of_Substinence	Health	11	15
of_Vita	Health	16	20
of_Spirit	Health	3	8
of_Hope	Health	9	20
of_Piercing	Ignore_armor	1	1
of_Piercing	Ignore_armor	1	1
of_Ages	Indestructible	1	1
of_the_Bear	Knockback	1	1
of_the_Bear	Knockback	1	1
of_the_Leech	Lifesteal	4	7
of_the_Locust	Lifesteal	8	10
of_the_Leech	Lifesteal	4	5
of_the_Locust	Lifesteal	6	7
of_the_Lamprey	Lifesteal	8	9
of_the_Leech	Lifesteal	3	4
of_the_Locust	Lifesteal	5	6
of_the_Lamprey	Lifesteal	7	8
of_the_Leech	Lifesteal	3	3
of_Light	Light	1	1
of_Radiance	Light	3	3
of_the_Sun	Light	5	5
of_Light	Light	1	1
of_Radiance	Light	3	3
of_the_Sun	Light	5	5
of_Shock	Minimum_lightning_damage	1	1
of_Lightning	Minimum_lightning_damage	1	1
of_Thunder	Minimum_lightning_damage	1	1
of_Shock	Minimum_lightning_damage	1	1
of_Shock	Minimum_lightning_damage	1	1
of_Lightning	Minimum_lightning_damage	1	1
of_Thunder	Minimum_lightning_damage	1	1
of_Storms	Minimum_lightning_damage	1	6
of_Shock	Minimum_lightning_damage	1	1
of_Ennui	Minimum_lightning_damage	1	1
of_Lightning	Minimum_lightning_damage	1	1
of_Thunder	Minimum_lightning_damage	1	1
of_Chance	Find_Magic_%	10	19
of_Fortune	Find_Magic_%	20	35
of_Chance	Find_Magic_%	5	15
of_Fortune	Find_Magic_%	16	25
of_Fortune	Find_Magic_%	16	25
of_Luck	Find_Magic_%	26	35
of_Fortune	Find_Magic_%	2	2
of_Good_Luck	Find_Magic_%	3	4
of_Prosperity	Find_Magic_%	3	7
of_Energy	Mana	1	1
of_Energy	Mana	1	5
of_the_Mind	Mana	6	10
of_Brilliance	Mana	11	15
of_Sorcery	Mana	16	20
of_Wizardry	Mana	21	30
of_the_Bat	Manasteal	4	8
of_the_Vampire	Manasteal	9	12
of_the_Bat	Manasteal	4	5
of_the_Wraith	Manasteal	6	7
of_the_Vampire	Manasteal	8	9
of_the_Bat	Manasteal	3	4
of_the_Wraith	Manasteal	5	6
of_the_Vampire	Manasteal	7	8
of_the_Bat	Manasteal	3	3
of_Pacing	Move_speed	10	10
of_Pacing	Move_speed	10	10
of_Inertia	Move_speed	3	3
of_Haste	Move_speed	20	20
of_Haste	Move_speed	20	20
of_Inertia	Move_speed	5	5
of_Speed	Move_speed	30	30
of_Speed	Move_speed	30	30
of_Traveling	Move_speed	30	30
of_Acceleration	Move_speed	40	40
of_Inertia	Move_speed	7	7
of_Vileness	No_heal	1	1
of_Vileness	No_heal	1	1
of_Blight	Minimum_poison_damage	8	8
of_Venom	Minimum_poison_damage	16	16
of_Pestilence	Minimum_poison_damage	32	32
of_Blight	Minimum_poison_damage	8	8
of_Blight	Minimum_poison_damage	8	8
of_Venom	Minimum_poison_damage	16	16
of_Pestilence	Minimum_poison_damage	32	32
of_Anthrax	Minimum_poison_damage	64	64
of_Blight	Minimum_poison_damage	8	8
of_Envy	Minimum_poison_damage	48	48
of_Health	Damage_reduction	1	1
of_Protection	Damage_reduction	2	2
of_Absorption	Damage_reduction	3	3
of_Life	Damage_reduction	4	4
of_Health	Damage_reduction	1	1
of_Protection	Damage_reduction	2	2
of_Absorption	Damage_reduction	3	3
of_Life	Damage_reduction	4	4
of_Life_Everlasting	Damage_reduction	10	25
of_Protection	Damage_reduction	2	2
of_Absorption	Damage_reduction	3	3
of_Life	Damage_reduction	4	7
of_Anima	Damage_reduction	8	15
of_Warding	Damage_reduction	1	1
of_the_Sentinel	Damage_reduction	2	2
of_Guarding	Damage_reduction	3	3
of_Negation	Damage_reduction	4	4
of_Warding	Damage_reduction	1	1
of_the_Sentinel	Damage_reduction	2	2
of_Guarding	Damage_reduction	3	3
of_Negation	Damage_reduction	4	6
of_the_Sentinel	Damage_reduction	2	2
of_Guarding	Damage_reduction	3	3
of_Negation	Damage_reduction	4	6
of_Regeneration	Regeneration	3	3
of_Regeneration	Regeneration	3	3
of_Regeneration	Regeneration	3	3
of_Regrowth	Regeneration	5	5
of_Regrowth	Regeneration	5	5
of_Regeneration	Regeneration	3	5
of_Regeneration	Regeneration	3	5
of_Regeneration	Regeneration	3	5
of_Regrowth	Regeneration	6	10
of_Regrowth	Regeneration	6	9
of_Revivification	Regeneration	11	15
of_Honor	Regeneration	1	4
of_Defiance	Poison_resist_length	75	75
of_Amelioration	Poison_resist_length	50	50
of_Remedy	Poison_resist_length	25	25
of_Defiance	Poison_resist_length	75	75
of_Amelioration	Poison_resist_length	50	50
of_Remedy	Poison_resist_length	25	25
of_Strength	Strength	1	3
of_Might	Strength	4	6
of_the_Ox	Strength	7	10
of_the_Ox	Strength	7	10
of_the_Giant	Strength	11	15
of_the_Giant	Strength	11	15
of_the_Titan	Strength	16	20
of_Strength	Strength	1	2
of_Might	Strength	3	5
of_the_Ox	Strength	6	9
of_the_Giant	Strength	10	15
of_the_Titan	Strength	16	20
of_Atlus	Strength	21	30
of_Strength	Strength	1	2
of_Might	Strength	3	5
of_the_Ox	Strength	6	9
of_the_Giant	Strength	10	15
of_the_Titan	Strength	16	20
of_Strength	Strength	1	2
of_Might	Strength	3	5
of_the_Ox	Strength	6	9
of_the_Giant	Strength	10	15
of_Strength	Strength	3	4
of_Strength	Strength	2	3
of_Strength	Strength	1	1
of_Strength	Strength	5	6
of_Strength	Strength	4	5
of_Strength	Strength	2	2
of_Virility	Strength	1	4
of_Virility	Strength	5	6
of_Virility	Strength	7	9
of_Thorns	Thorns	1	3
of_Spikes	Thorns	2	6
of_Thorns	Thorns	1	3
of_Spikes	Thorns	4	6
of_Razors	Thorns	7	9
of_Swords	Thorns	10	20
of_Malice	Thorns	1	3
