372			
name	mod1code	mod1min	mod1max
Azure	Cold_resist_%	3	5
Lapis	Cold_resist_%	6	7
Cobalt	Cold_resist_%	8	9
Sapphire	Cold_resist_%	10	12
Azure	Cold_resist_%	5	10
Lapis	Cold_resist_%	11	20
Lapis	Cold_resist_%	11	20
Cobalt	Cold_resist_%	21	30
Cobalt	Cold_resist_%	21	30
Sapphire	Cold_resist_%	31	40
Lapis_Lazuli	Cold_resist_%	5	15
Sapphire	Cold_resist_%	16	30
Crimson	Fire_resist_%	7	15
Russet	Fire_resist_%	16	22
Garnet	Fire_resist_%	23	29
Ruby	Fire_resist_%	30	36
Crimson	Fire_resist_%	5	10
Russet	Fire_resist_%	11	15
Garnet	Fire_resist_%	16	19
Ruby	Fire_resist_%	20	24
Russet	Fire_resist_%	3	5
Garnet	Fire_resist_%	6	7
Ruby	Fire_resist_%	8	9
Crimson	Fire_resist_%	10	12
Russet	Fire_resist_%	11	20
Russet	Fire_resist_%	11	20
Garnet	Fire_resist_%	21	30
Garnet	Fire_resist_%	21	30
Ruby	Fire_resist_%	31	40
Garnet	Fire_resist_%	5	15
Ruby	Fire_resist_%	16	30
Tangerine	Lightning_resist_%	7	15
Ocher	Lightning_resist_%	16	22
Coral	Lightning_resist_%	23	29
Amber	Lightning_resist_%	30	36
Tangerine	Lightning_resist_%	5	10
Ocher	Lightning_resist_%	11	15
Coral	Lightning_resist_%	16	19
Amber	Lightning_resist_%	20	24
Tangerine	Lightning_resist_%	3	5
Ocher	Lightning_resist_%	6	7
Coral	Lightning_resist_%	8	9
Amber	Lightning_resist_%	10	12
Tangerine	Lightning_resist_%	5	10
Ocher	Lightning_resist_%	11	20
Ocher	Lightning_resist_%	11	20
Coral	Lightning_resist_%	21	30
Coral	Lightning_resist_%	21	30
Amber	Lightning_resist_%	31	40
Camphor	Lightning_resist_%	5	15
Ambergris	Lightning_resist_%	16	30
Beryl	Poison_resist_%	7	15
Viridian	Poison_resist_%	16	22
Jade	Poison_resist_%	23	29
Emerald	Poison_resist_%	30	36
Beryl	Poison_resist_%	5	10
Viridian	Poison_resist_%	11	15
Jade	Poison_resist_%	16	19
Emerald	Poison_resist_%	20	24
Beryl	Poison_resist_%	3	5
Viridian	Poison_resist_%	6	7
Jade	Poison_resist_%	8	9
Emerald	Poison_resist_%	10	12
Beryl	Poison_resist_%	5	10
Viridian	Poison_resist_%	11	20
Viridian	Poison_resist_%	11	20
Jade	Poison_resist_%	21	30
Jade	Poison_resist_%	21	30
Emerald	Poison_resist_%	31	40
Beryl	Poison_resist_%	5	15
Jade	Poison_resist_%	16	30
Triumphant	Mana_per_kill	1	1
Victorious	Mana_per_kill	2	5
Aureolin	Mana_per_kill	1	3
